,acronym,expansion,language,type,doc_id
1393,dj-draaitafel,diskjockey-draaitafel,en,out_expansion,Platenspeler
1394,dvd-speler,digital versatile disk-speler,en,out_expansion,Platenspeler
1395,i.p.v.,in plaats van,nl,out_expansion,Platenspeler
1396,lp,long play,en,out_expansion,Platenspeler
1397,mp3-speler,Motion Picture 3-speler,en,out_expansion,Platenspeler
1398,tpm,toeren per minuut,nl,out_expansion,Platenspeler
1399,usb-aansluiting,universal serial bus-aansluiting,en,out_expansion,Platenspeler
1400,GmbH,Gesellschaft mit beschränkter Haftung,none_of_above,out_expansion,Maybach
1401,IAA,Internationale Automobil-Ausstellung,none_of_above,out_expansion,Maybach
1402,NS,Nederlandse Spoorwegen,nl,out_expansion,Maybach
1403,Nm,Newton-meter,nl,out_expansion,Maybach
1404,S,Sonder,en,out_expansion,Maybach
1405,S-Klasse,Sonder-Klasse,en,out_expansion,Maybach
1406,cm,centimeter,en,out_expansion,Maybach
1407,km/h,kilometer per hour,en,out_expansion,Maybach
1408,km/uur,kilometer per uur,nl,out_expansion,Maybach
1409,o/m,omwentelingen per minuut,en,out_expansion,Maybach
1410,pk,paardenkracht,en,out_expansion,Maybach
1411,,,,in_expansion,Fictie
1412,,,,out_expansion,Fictie
1413,,,,in_expansion,Bestedingen
1414,,,,out_expansion,Bestedingen
1415,,,,in_expansion,Langpootmuggen
1416,,,,out_expansion,Langpootmuggen
1417,,,,in_expansion,Suikerfabriek
1418,,,,out_expansion,Suikerfabriek
1419,,,,in_expansion,Theorie
1420,,,,out_expansion,Theorie
